X,Y,StationVal,LocalEasti,LocalNorth,LocalHeigh,Descriptor,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Feature,icon_url
445576.4967206,9097296.72707348,403662,445576.497,9097296.727,360.554,S,,,,,,,,,./0.png
445570.974133898,9097326.22798894,403668,445570.974,9097326.228,371.993,S,,,,,,,,,./0.png
445562.45007929,9097355.36702114,403674,445562.450,9097355.367,381.555,S,,,,,,,,,./0.png
445553.564201006,9097384.11254695,403680,445553.564,9097384.113,379.346,S,,,,,,,,,./0.png
445548.096974268,9097413.58439294,403686,445548.097,9097413.584,369.119,S,,,,,,,,,./0.png
445541.410343502,9097442.63068088,403692,445541.410,9097442.631,368.657,S,,,,,,,,,./0.png
445535.497441157,9097472.23501621,403698,445535.497,9097472.235,365.312,S,,,,,,,,,./0.png
445529.50202217,9097501.46852851,403704,445529.502,9097501.469,353.482,S,,,,,,,,,./0.png
445520.187574218,9097530.49707818,403710,445520.188,9097530.497,337.156,S,,,,,,,,,./0.png
445518.256905451,9097560.69953641,403716,445518.257,9097560.700,330.083,S,,,,,,,,,./0.png
445510.206072383,9097589.68473386,403722,445510.206,9097589.685,332.063,S,,,,,,,,,./0.png
445503.595216848,9097618.85069447,403728,445503.595,9097618.851,336.193,S,,,,,,,,,./0.png
445493.411878798,9097647.47401241,403734,445493.412,9097647.474,346.438,S,,,,,,,,,./0.png
445489.668096681,9097677.0139239,403740,445489.668,9097677.014,343.896,S,,,,,,,,,./0.png
445483.693137645,9097706.74158031,403746,445483.693,9097706.742,344.911,S,,,,,,,,,./0.png
445475.08784444,9097735.41453268,403752,445475.088,9097735.415,344.535,S,,,,,,,,,./0.png
445465.137793801,9097764.01342441,403758,445465.138,9097764.013,344.430,S,,,,,,,,,./0.png
445458.558518288,9097793.41722551,403764,445458.559,9097793.417,341.387,S,,,,,,,,,./0.png
445451.901086808,9097822.63903728,403770,445451.901,9097822.639,328.747,S,,,,,,,,,./0.png
445447.086886471,9097852.3716699,403776,445447.087,9097852.372,313.980,S,,,,,,,,,./0.png
445443.100144321,9097881.92479896,403782,445443.100,9097881.925,306.687,S,,,,,,,,,./0.png
445442.095729882,9097922.48762498,403790,445442.096,9097922.488,305.687,S,,,,,,,,,./0.png
445440.915496698,9097942.76991099,403794,445440.915,9097942.770,306.353,S,,,,,,,,,./0.png
445432.870709329,9097971.94347552,403800,445432.871,9097971.943,306.252,S,,,,,,,,,./0.png
